id,name,url,description,created_at,updated_at,subscribable_type,subscribable_id,status
52,Reuters Video: World News,http://feeds.reuters.com/reuters/USVideoWorldNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:55.182763,2017-04-06 08:46:33.158127,,,Updated
54,bunge - Google News,https://news.google.com/news?cf=all&hl=en&pz=1&ned=us&q=bunge&tbm=nws&output=rss,Google News,2017-03-07 02:20:56.05885,2017-04-06 08:46:34.562267,,,Updated
55,Derivatives Regulation - Google News,https://news.google.com/news/feeds?pz=1&cf=all&ned=us&hl=en&q=Derivatives+Regulation&output=rss,Google News,2017-03-07 02:20:56.496894,2017-04-06 08:46:35.116323,,,Updated
56,intercontinental exchange - Google News,https://news.google.com/news?cf=all&hl=en&pz=1&ned=us&q=intercontinental+exchange&tbm=nws&output=rss,Google News,2017-04-06 08:46:35.667378,2017-04-06 08:46:52.701403,Exchange,559,Updated
57,Press Releases,http://www.cmegroup.com/rss/press-releases/jcr:content.rss,Press Releases,2017-04-06 08:46:36.263437,2017-04-06 08:46:56.282683,Exchange,548,Updated
58,Euronext news,https://www.euronext.com/en/news/rss,,2017-04-06 08:46:36.842495,2017-04-06 08:46:57.897537,Exchange,553,Updated
59,ESMA - European Securities and Markets Authority,https://www.esma.europa.eu/rss.xml,Latest publications from ESMA,2017-04-06 08:46:37.413552,2017-04-06 08:46:58.991962,Regulator,575,Updated
60,RSS Feed,http://www.mas.gov.sg/News-and-Publications.aspx?sc_display=rss,,2017-04-06 08:46:37.969608,2017-04-06 08:46:59.81254,Regulator,576,Updated
3,Welcome to CFTC's Comments Online RSS feed,https://comments.cftc.gov/handlers/RSSHandler.ashx?type=Releases&category=Final%20Rule,This feed provides a friendly RSS for the CFTC's Comments Online system.,2017-03-07 02:20:32.422487,2017-04-06 08:46:06.057417,Regulator,574,Updated
4,CFTC Pressroom General Press Release,http://www.cftc.gov/RSS/RSSGP/rssgp.xml,,2017-03-07 02:20:32.881533,2017-04-06 08:46:06.638475,Regulator,574,Updated
5,CFTC Newsroom Enforcement Press Releases,http://www.cftc.gov/RSS/RSSENF/rssenf.xml,,2017-03-07 02:20:33.309575,2017-04-06 08:46:07.207532,Regulator,574,Updated
6,CFTC Pressroom Speeches and Testimony,http://www.cftc.gov/RSS/RSSST/rssst.xml,,2017-03-07 02:20:33.773622,2017-04-06 08:46:07.768588,Regulator,574,Updated
7,Advisories,http://www.kattenlaw.com/files/advisories.xml,Advisories,2017-03-07 02:20:34.219666,2017-04-06 08:46:08.443656,,,Updated
12,WSJ.com: Markets,http://www.wsj.com/xml/rss/3_7031.xml,Markets,2017-03-07 02:20:36.523897,2017-04-06 08:46:11.127924,,,Updated
13,Reuters: Business News,http://feeds.reuters.com/reuters/businessNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:37.035948,2017-04-06 08:46:11.658977,,,Updated
14,Business,http://www.cnbc.com/id/10001147/device/rss/rss.html,Latest headlines for business news around the world. ,2017-03-07 02:20:37.505995,2017-04-06 08:46:12.199031,,,Updated
18,Reuters: Environment,http://feeds.reuters.com/reuters/environment,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:39.734218,2017-04-06 08:46:14.374249,,,Updated
23,Reuters: Oddly Enough,http://feeds.reuters.com/reuters/oddlyEnoughNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:42.104455,2017-04-06 08:46:17.066518,,,Updated
26,Reuters: Politics,http://feeds.reuters.com/Reuters/PoliticsNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:43.441589,2017-04-06 08:46:18.68468,,,Updated
29,Reuters: Technology News,http://feeds.reuters.com/reuters/technologyNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:44.795724,2017-04-06 08:46:20.310842,,,Updated
33,Reuters Video: Breakingviews,http://feeds.reuters.com/reuters/USVideoBreakingviews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:46.602905,2017-04-06 08:46:22.510062,,,Updated
37,Reuters Video: Entertainment,http://feeds.reuters.com/reuters/USVideoEntertainment,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:48.388083,2017-04-06 08:46:24.744286,,,Updated
41,Reuters Video: Lifestyle,http://feeds.reuters.com/reuters/USVideoLifestyle,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:50.181262,2017-04-06 08:46:26.934505,,,Updated
44,Reuters Video: Newsmakers,http://feeds.reuters.com/reuters/USVideoNewsmakers,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:51.5534,2017-04-06 08:46:28.58967,,,Updated
48,Reuters Video: Rough Cuts,http://feeds.reuters.com/reuters/USVideoRoughCuts,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:53.323577,2017-04-06 08:46:30.956907,,,Updated
1,OpenMarkets,http://openmarkets.cmegroup.com/feed,Perspectives on Global Finance,2017-03-07 02:20:31.431388,2017-04-06 08:46:04.870298,Exchange,548,Updated
10,Federal Register Documents about Commodity Futures Trading Commission,https://www.federalregister.gov/api/v1/documents.rss?conditions%5Btopics%5D=commodity-futures-trading-commission,"The documents in this feed originate from FederalRegister.gov which displays an unofficial web version of the daily Federal Register. The official electronic version in PDF format is also available as a link from the FederalRegister.gov website. For more information, please see https://www.federalregister.gov/reader-aids/policy/legal-status.",2017-03-07 02:20:35.595804,2017-04-06 08:46:10.069818,,,Updated
15,Reuters: Arts,http://feeds.reuters.com/news/artsculture,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:37.95304,2017-04-06 08:46:12.734085,,,Updated
16,Reuters: Company News,http://feeds.reuters.com/reuters/companyNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:38.844129,2017-04-06 08:46:13.258137,,,Updated
17,Reuters: Entertainment News,http://feeds.reuters.com/reuters/entertainment,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:39.284173,2017-04-06 08:46:13.809192,,,Updated
19,Reuters: Health News,http://feeds.reuters.com/reuters/healthNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:40.201265,2017-04-06 08:46:14.908302,,,Updated
20,Reuters: Lifestyle,http://feeds.reuters.com/reuters/lifestyle,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:40.693314,2017-04-06 08:46:15.454357,,,Updated
21,Reuters: Money,http://feeds.reuters.com/news/wealth,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:41.141359,2017-04-06 08:46:15.996411,,,Updated
22,Reuters: Most Read Articles,http://feeds.reuters.com/reuters/MostRead,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:41.603405,2017-04-06 08:46:16.529464,,,Updated
24,Reuters: 24 hours,http://feeds.reuters.com/ReutersPictures,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:42.542499,2017-04-06 08:46:17.615573,,,Updated
25,Reuters: People News,http://feeds.reuters.com/reuters/peopleNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:42.993544,2017-04-06 08:46:18.148626,,,Updated
27,Reuters: Science News,http://feeds.reuters.com/reuters/scienceNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:43.888633,2017-04-06 08:46:19.222734,,,Updated
28,Reuters: Sports News,http://feeds.reuters.com/reuters/sportsNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:44.330677,2017-04-06 08:46:19.769788,,,Updated
30,Reuters: Top News,http://feeds.reuters.com/reuters/topNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:45.247769,2017-04-06 08:46:20.853897,,,Updated
31,Reuters: U.S.,http://feeds.reuters.com/Reuters/domesticNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:45.700814,2017-04-06 08:46:21.38995,,,Updated
32,Reuters: World News,http://feeds.reuters.com/Reuters/worldNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:46.149859,2017-04-06 08:46:21.959007,,,Updated
49,Reuters Video: Small Business,http://feeds.reuters.com/reuters/USVideoSmallBusiness,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:53.766621,2017-04-06 08:46:31.511962,,,Updated
50,Reuters Video: Technology,http://feeds.reuters.com/reuters/USVideoTechnology,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:54.225667,2017-04-06 08:46:32.045016,,,Updated
51,Reuters Video: Top News,http://feeds.reuters.com/reuters/USVideoTopNews,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:54.734718,2017-04-06 08:46:32.610072,,,Updated
53,Financial Times Search Atom Syndication,http://search.ft.com/openSearch/atom/?searchTerms=bunge&sortBy=date,You searched for bunge,2017-03-07 02:20:55.620806,2017-04-06 08:46:33.703181,,,Updated
38,Reuters Video: Environment,http://feeds.reuters.com/reuters/USVideoEnvironment,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:48.821126,2017-04-06 08:47:30.438686,,,Updated
45,Reuters Video: Oddly Enough,http://feeds.reuters.com/reuters/USVideoOddlyEnough,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:51.998444,2017-04-06 08:47:31.201384,,,Error Updating
39,Reuters Video: Felix Salmon,http://feeds.reuters.com/reuters/USVideoFelixSalmon,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:49.25717,2017-04-06 08:46:25.811392,,,Updated
2,Welcome to CFTC's Comments Online RSS feed,https://comments.cftc.gov/handlers/RSSHandler.ashx?type=Releases&category=Proposed%20Rule,This feed provides a friendly RSS for the CFTC's Comments Online system.,2017-03-07 02:20:31.963441,2017-04-06 08:46:05.468358,Regulator,574,Updated
8,Federal Register Documents about Commodity futures,https://www.federalregister.gov/api/v1/documents.rss?conditions%5Bconditions%5D%5Btopics%5D=commodity-futures&conditions%5Border%5D=newest,"The documents in this feed originate from FederalRegister.gov which displays an unofficial web version of the daily Federal Register. The official electronic version in PDF format is also available as a link from the FederalRegister.gov website. For more information, please see https://www.federalregister.gov/reader-aids/policy/legal-status.",2017-03-07 02:20:34.672712,2017-04-06 08:46:08.973709,,,Updated
9,Federal Register Documents whose Associated Unified Agenda Deemed Significant Under EO 12866 and about Commodity futures,https://www.federalregister.gov/api/v1/documents.rss?conditions%5Bsignificant%5D=1&conditions%5Btopics%5D=commodity-futures,"The documents in this feed originate from FederalRegister.gov which displays an unofficial web version of the daily Federal Register. The official electronic version in PDF format is also available as a link from the FederalRegister.gov website. For more information, please see https://www.federalregister.gov/reader-aids/policy/legal-status.",2017-03-07 02:20:35.130758,2017-04-06 08:46:09.533765,,,Updated
35,Reuters Video: Business Travel,http://feeds.reuters.com/reuters/USVideoBusinessTravel,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:47.489993,2017-04-06 08:46:23.625174,,,Updated
36,Reuters Video: Chrystia Freeland,http://feeds.reuters.com/reuters/USVideoChrystiaFreeland,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:47.948039,2017-04-06 08:46:24.163228,,,Updated
40,Reuters Video: GigaOM,http://feeds.reuters.com/reuters/USVideoGigaom,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:49.699214,2017-04-06 08:46:26.365448,,,Updated
42,Reuters Video: Most Popular,http://feeds.reuters.com/reuters/USVideoMostWatched,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:50.662311,2017-04-06 08:46:27.474559,,,Updated
43,Reuters Video: Latest Videos US,http://feeds.reuters.com/reuters/USVideoLatest,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:51.104355,2017-04-06 08:46:28.044616,,,Updated
46,Reuters Video: Personal Finance,http://feeds.reuters.com/reuters/USVideoPersonalFinance,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:52.434488,2017-04-06 08:46:29.839795,,,Updated
47,Reuters Video: Politics,http://feeds.reuters.com/reuters/USVideoPolitics,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:52.866531,2017-04-06 08:46:30.373849,,,Updated
11,Federal Register Documents whose Associated Unified Agenda Deemed Significant Under EO 12866 and about Commodity Futures Trading Commission,https://www.federalregister.gov/api/v1/documents.rss?conditions%5Bsignificant%5D=1&conditions%5Btopics%5D=commodity-futures-trading-commission,"The documents in this feed originate from FederalRegister.gov which displays an unofficial web version of the daily Federal Register. The official electronic version in PDF format is also available as a link from the FederalRegister.gov website. For more information, please see https://www.federalregister.gov/reader-aids/policy/legal-status.",2017-03-07 02:20:36.05085,2017-04-06 08:46:10.602872,,,Updated
34,Reuters Video: Business,http://feeds.reuters.com/reuters/USVideoBusiness,"Reuters.com is your source for breaking news, business, financial and investing news, including personal finance and stocks.  Reuters is the leading global provider of news, financial information and technology solutions to the world's media, financial institutions, businesses and individuals.",2017-03-07 02:20:47.035948,2017-04-06 08:46:23.060117,,,Updated
