id,training_date,training_time,created_at,updated_at,user_id,training_type_id,location_id
6,12/12/2012,,56:25.3,56:25.3,3233,2,19
75,3/3/2013,,56:44.5,56:44.5,3233,1,10
1,11/21/2011,,15:50.1,15:50.1,,1,5
2,4/8/2013,,56:24.2,15:50.6,3233,1,5
3,4/8/2013,,56:24.6,15:51.0,3233,2,5
4,5/2/2013,,56:24.8,15:51.5,3233,1,10
5,11/20/2014,,56:25.1,15:51.9,3233,2,10
7,9/21/2012,,56:25.6,15:52.7,3233,1,21
8,11/5/2012,,56:25.8,15:53.1,3233,1,93
9,2/26/2015,,56:26.0,15:53.5,3233,1,93
10,2/26/2015,,56:26.3,15:53.9,3233,2,93
11,7/6/2011,,56:26.5,15:54.4,3233,1,34
12,7/19/2012,,56:26.8,15:54.8,3233,2,34
13,11/10/2011,,56:27.0,15:55.2,3233,1,36
14,11/19/2012,,56:27.3,15:55.7,3233,2,36
15,11/19/2012,,56:27.5,15:56.1,3233,1,36
16,1/23/2012,,56:27.8,15:56.5,3233,1,43
17,4/12/2013,,56:28.0,15:56.9,3233,1,43
18,11/21/2011,,56:28.3,15:57.4,3233,1,85
19,11/21/2012,,56:28.5,15:57.8,3233,1,85
20,2/28/2015,,56:28.7,15:58.2,3233,1,85
21,2/28/2015,,56:29.0,15:58.7,3233,2,85
22,11/16/2011,,56:29.2,15:59.1,3233,1,110
23,11/12/2012,,56:29.5,15:59.5,3233,1,110
24,11/12/2012,,56:29.7,15:59.9,3233,2,110
25,3/9/2012,,56:30.0,16:00.4,3233,1,66
26,3/11/2013,,56:30.2,16:00.8,3233,1,66
27,3/11/2013,,56:30.5,16:01.8,3233,2,66
28,3/9/2015,,56:30.7,16:02.2,3233,1,66
29,3/9/2015,,56:31.0,16:02.6,3233,2,66
30,4/29/2013,,56:31.2,16:03.1,3233,1,75
31,11/18/2014,,56:31.4,16:03.5,3233,2,75
32,11/18/2014,,56:31.7,16:04.0,3233,1,75
33,10/31/2013,,56:31.9,16:04.4,3233,2,89
34,3/5/2012,,56:32.2,16:04.8,3233,1,89
35,10/31/2013,,56:32.4,16:05.3,3233,1,89
36,10/28/2013,,56:32.7,16:05.7,3233,2,91
37,10/29/2013,,56:32.9,16:06.1,3233,3,91
38,10/28/2013,,56:33.2,16:06.6,3233,1,91
39,1/30/2013,,56:33.4,16:07.0,3233,2,91
40,1/31/2013,,56:33.7,16:07.4,3233,1,91
41,3/7/2012,,56:33.9,16:07.8,3233,1,91
42,2/26/2013,,56:34.2,16:08.3,3233,2,92
43,10/6/2011,,56:34.4,16:08.7,3233,1,98
44,12/21/2012,,56:34.7,16:09.2,3233,1,98
45,2/6/2013,,56:34.9,16:09.6,3233,1,98
46,1/31/2014,,56:35.2,16:10.1,3233,1,98
47,4/1/2015,,56:35.4,16:10.5,3233,1,99
48,1/29/2015,,56:35.6,16:10.9,3233,1,88
49,10/11/2011,,56:35.9,16:11.3,3233,1,88
50,2/16/2012,,56:36.1,16:11.8,3233,1,88
51,3/7/2013,,56:36.4,16:12.2,3233,1,88
52,10/26/2015,,56:36.6,16:12.6,3233,1,92
53,10/27/2015,,56:36.9,16:13.1,3233,1,92
54,10/27/2015,,56:37.1,16:13.5,3233,2,92
55,10/27/2015,,56:37.4,16:14.0,3233,2,92
56,10/28/2015,,56:37.6,16:14.4,3233,2,92
57,10/29/2015,,56:37.9,16:14.8,3233,1,65
58,11/30/2015,,56:38.1,16:15.2,3233,1,91
59,12/1/2015,,56:38.4,16:15.7,3233,2,91
60,12/1/2015,,56:38.6,16:16.1,3233,2,91
61,12/3/2015,,56:38.9,16:16.5,3233,2,89
62,12/3/2015,,56:39.1,16:17.0,3233,1,89
63,11/17/2011,,56:39.3,16:17.4,3233,1,110
64,11/17/2011,,56:39.6,16:17.9,3233,1,110
65,7/18/2012,,56:39.8,16:18.3,3233,2,34
66,7/18/2012,,56:40.1,16:18.7,3233,1,34
67,7/17/2012,,56:40.3,16:19.2,3233,1,34
68,9/28/2015,,56:40.6,16:19.6,3233,1,5
69,9/28/2015,,56:40.8,16:20.0,3233,2,5
70,9/29/2015,,56:41.1,16:20.5,3233,1,5
71,10/1/2015,,56:41.3,16:20.9,3233,1,11
72,3/8/2012,,56:41.8,16:21.4,3233,1,91
73,9/21/2012,,56:42.5,16:21.8,3233,1,21
74,2/20/2013,,56:43.4,16:22.3,3233,1,98
76,2/27/2013,,56:44.8,16:23.0,3233,1,92
77,2/27/2013,,56:45.0,16:23.4,3233,2,92
78,2/28/2013,,56:45.2,16:23.9,3233,1,92
79,2/28/2013,,56:45.5,16:24.3,3233,2,92
80,2/26/2013,,56:45.7,16:24.8,3233,2,92
81,2/27/2013,,56:46.0,16:25.2,3233,1,92
82,2/27/2013,,56:46.2,16:25.6,3233,2,92
83,2/28/2013,,56:46.5,16:26.1,3233,1,92
84,2/28/2013,,56:46.7,16:26.5,3233,1,92
85,10/16/2013,,56:47.0,16:26.9,3233,1,92
86,10/16/2013,,56:47.3,16:27.4,3233,1,92
87,2/14/2012,,56:47.5,16:27.8,3233,1,13
88,3/7/2013,,56:47.9,16:28.2,3233,1,88
89,3/6/2013,,56:48.1,16:28.7,3233,1,88
90,3/4/2013,,56:48.4,16:29.1,3233,1,70
91,2/17/2012,,56:48.6,16:29.5,3233,1,88
92,1/29/2015,,56:48.8,16:30.0,3233,1,88
93,1/29/2015,,56:49.1,16:30.4,3233,1,88
94,1/29/2015,,56:49.3,16:30.8,3233,2,88
95,12/10/2015,,56:49.6,16:31.3,3233,1,98
96,10/26/2015,,56:49.9,16:31.7,3233,1,92
97,10/26/2015,,56:50.1,16:32.1,3233,2,92
98,2/18/2016,,56:50.4,16:32.6,3233,2,98
99,2/21/2016,,56:50.6,16:33.0,3233,1,34
100,2/29/2016,,56:50.9,16:33.5,3233,1,48
101,2/22/2016,,56:51.1,16:34.2,3233,1,36
102,2/22/2016,,56:51.4,16:34.7,3233,2,36
103,2/23/2016,,56:51.6,16:35.1,3233,1,36
104,2/23/2016,,56:51.9,16:35.5,3233,2,36
105,2/25/2016,,56:52.1,16:36.0,3233,1,34
106,2/25/2016,,56:52.4,16:36.4,3233,1,34
107,2/26/2016,,56:52.6,16:36.8,3233,2,34
108,2/24/2016,,56:52.8,16:37.3,3233,2,34
109,3/14/2016,,56:53.1,16:37.7,3233,1,66
110,3/14/2016,,56:53.3,16:38.1,3233,2,66
111,5/12/2016,,56:53.6,16:38.6,3233,1,19
112,5/12/2016,,56:53.8,16:39.0,3233,1,19
113,2/22/2017,,26:27.5,26:27.5,3223,1,91
114,4/26/2017,,31:10.2,31:10.2,3223,4,92
